,year,inflation,salary_avg,inflation_growth,salary_depend,year_exp,salary_growth
0,2007,10.8468362075558,50910.0,0.0,0.0,2007.0,0.0
1,2007,11.6334691537622,51871.125,2.1424874721508753,1.8878903948143788,2007.125,1.8878903948143788
2,2007,12.420102099968599,52832.25,4.284974944301751,3.7757807896287576,2007.25,3.7757807896287576
3,2007,13.206735046175,53793.375,6.4274624164526255,5.663671184443136,2007.375,5.663671184443136
4,2007,13.9933679923814,54754.5,8.569949888603501,7.551561579257515,2007.5,7.551561579257515
5,2007,14.780000938587799,55715.625,10.712437360754377,9.439451974071893,2007.625,9.439451974071893
6,2007,15.5666338847942,56676.75,12.854924832905251,11.327342368886272,2007.75,11.327342368886272
7,2007,16.3532668310006,57637.875,14.997412305056127,13.215232763700651,2007.875,13.215232763700651
8,2008,17.139899777207,58599.0,17.139899777207003,15.10312315851503,2008.0,15.10312315851503
9,2008,15.911922127916858,59519.625,18.211155667158778,16.91146140247496,2008.125,14.786291996793366
10,2008,14.683944478626717,60440.25,19.282411557110553,18.719799646434886,2008.25,14.4694608350717
11,2008,13.455966829336575,61360.875,20.353667447062328,20.528137890394813,2008.375,14.152629673350036
12,2008,12.227989180046436,62281.5,21.4249233370141,22.33647613435474,2008.5,13.835798511628372
13,2008,11.000011530756293,63202.125,22.49617922696588,24.14481437831467,2008.625,13.518967349906708
14,2008,9.772033881466152,64122.75,23.56743511691765,25.953152622274594,2008.75,13.202136188185044
15,2008,8.544056232176011,65043.375,24.638691006869426,27.761490866234524,2008.875,12.885305026463378
16,2009,7.31607858288587,65964.0,25.7099468968212,29.56982911019445,2009.0,12.568473864741714
17,2009,7.326626705952779,66749.875,26.872836749411665,31.11348458063248,2009.125,12.188784166546823
18,2009,7.337174829019688,67535.75,28.03572660200213,32.65714005107051,2009.25,11.809094468351933
19,2009,7.347722952086596,68321.625,29.198616454592596,34.20079552150854,2009.375,11.429404770157042
20,2009,7.358271075153505,69107.5,30.36150630718306,35.74445099194657,2009.5,11.04971507196215
21,2009,7.368819198220414,69893.375,31.524396159773524,37.288106462384604,2009.625,10.670025373767261
22,2009,7.379367321287322,70679.25,32.68728601236399,38.83176193282263,2009.75,10.29033567557237
23,2009,7.389915444354231,71465.125,33.85017586495445,40.37541740326066,2009.875,9.91064597737748
24,2010,7.40046356742114,72251.0,35.01306571754492,41.919072873698696,2010.0,9.53095627918259
25,2010,7.528516573893241,74153.375,36.43490309978705,45.65581418188962,2010.125,10.972595283958958
26,2010,7.656569580365343,76055.75,37.856740482029174,49.39255549008054,2010.25,12.414234288735326
27,2010,7.784622586837443,77958.125,39.2785778642713,53.12929679827147,2010.375,13.855873293511692
28,2010,7.912675593309545,79860.5,40.70041524651343,56.86603810646239,2010.5,15.29751229828806
29,2010,8.040728599781646,81762.875,42.12225262875556,60.60277941465331,2010.625,16.73915130306443
30,2010,8.168781606253747,83665.25,43.544090010997685,64.33952072284424,2010.75,18.180790307840795
31,2010,8.29683461272585,85567.625,44.96592739323981,68.07626203103516,2010.875,19.622429312617164
32,2011,8.42488761919795,87470.0,46.38776477548194,71.81300333922609,2011.0,21.06406831739353
33,2011,8.009016023017978,89109.25,47.320605225321735,75.03290119819289,2011.125,20.30513088781423
34,2011,7.593144426838007,90748.5,48.25344567516154,78.25279905715969,2011.25,19.54619345823493
35,2011,7.177272830658036,92387.75,49.18628612500133,81.4726969161265,2011.375,18.78725602865563
